mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svr__C,param_svr__epsilon,param_svr__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,mean_test_score,std_test_score,rank_test_score
0.026439888136727468,0.009989227742309677,0.011953047343662806,0.0046783863387384475,800,2.0,1e-05,"{'svr__C': 800, 'svr__epsilon': 2, 'svr__gamma': 1e-05}",-650.7297958380772,-803.5426207941508,-1157.777771188881,-897.2324937131472,-864.9250140774435,-1009.8704144217712,-822.2267146840472,-986.484962297921,-995.7893176216795,-913.2344327291024,-753.4088362056888,-1049.964336108537,-1053.4366357265378,-913.3789826528811,-919.4287377185617,129.97058616907333,27
0.02458158561161586,0.010048736880844024,0.009485432079860143,0.0035802470580620044,800,2.0,0.0001,"{'svr__C': 800, 'svr__epsilon': 2, 'svr__gamma': 0.0001}",-650.6975231795084,-803.2536073357472,-1157.1633764641833,-896.6122710110938,-864.7877367467598,-1010.1332587208767,-820.635697787381,-986.3501444082672,-995.264702443035,-912.4292141831613,-752.1695446080141,-1048.8572885672152,-1051.29835564703,-911.0801101837873,-918.6237736632901,129.88474650186006,18
0.014300993510654994,0.004550336568711584,0.006852132933480399,0.0015179084407700974,800,2.0,0.001,"{'svr__C': 800, 'svr__epsilon': 2, 'svr__gamma': 0.001}",-650.4786647062366,-800.400266661354,-1151.4856960740965,-890.6091424767479,-864.4359173702072,-1010.0401296734773,-805.0771106350969,-982.6467821567219,-994.5304972464853,-906.871042626234,-740.3027699430062,-1038.1230148624074,-1031.9211962593447,-887.5039205243867,-911.0304393725573,129.32492059209798,9
0.019811698368617466,0.006709784930471509,0.008995277541024345,0.0034283154317264787,800,2.5,1e-05,"{'svr__C': 800, 'svr__epsilon': 2.5, 'svr__gamma': 1e-05}",-650.7297958380772,-803.5426207941508,-1157.905389234433,-897.199629733155,-864.9250140774435,-1009.8440837398233,-822.2267146840472,-986.484962297921,-995.7893176216795,-913.2362689935655,-753.353393628747,-1049.9643488416702,-1053.3933665411478,-913.2466999935979,-919.4172575728186,129.9887108521541,26
0.021033883094787598,0.006980682298277218,0.010990023612976074,0.001750416031434209,800,2.5,0.0001,"{'svr__C': 800, 'svr__epsilon': 2.5, 'svr__gamma': 0.0001}",-650.6975231795084,-803.2536073357472,-1157.2892223339884,-896.5799425315809,-864.7877367467598,-1009.938941114528,-820.635697787381,-986.3501444082672,-995.2785690268677,-912.4474596782334,-752.1417639231007,-1048.854106022384,-1051.2550609264215,-911.0100728268039,-918.6085605601122,129.89185280293123,17
0.017986842564174106,0.005094492449060743,0.00818925244467599,0.003330850065647312,800,2.5,0.001,"{'svr__C': 800, 'svr__epsilon': 2.5, 'svr__gamma': 0.001}",-650.4939403623105,-800.3895622316924,-1151.6112201900357,-890.5802661808559,-864.577491973997,-1010.0282115799329,-805.0771106350969,-982.7569679307727,-994.3795728327108,-906.6588552711686,-740.2398868518123,-1038.1230460107754,-1031.871743339944,-887.3972399532388,-911.0132225245959,129.3380144330953,8
0.018613389560154507,0.007772746980451003,0.008585010256086077,0.002605237906576679,800,3.0,1e-05,"{'svr__C': 800, 'svr__epsilon': 3, 'svr__gamma': 1e-05}",-650.7297958380772,-803.5426207941508,-1158.0332423670886,-897.1670432042788,-864.9250140774435,-1009.8440837398233,-822.0341243744446,-986.484962297921,-995.7893176216795,-913.2014055697299,-753.3523053258335,-1049.965797556527,-1053.3518883247502,-913.2042084746377,-919.4018435404562,130.01357426867173,24
0.020290681294032505,0.006275023097811611,0.009444526263645716,0.002113597353548104,800,3.0,0.0001,"{'svr__C': 800, 'svr__epsilon': 3, 'svr__gamma': 0.0001}",-650.6975231795084,-803.2536073357472,-1157.4168193066278,-896.5478917337292,-864.7877367467598,-1009.938941114528,-820.635697787381,-986.3501444082672,-995.2785690268677,-912.433256888329,-752.1344513845854,-1048.855236718578,-1051.2120022434483,-910.8981661646915,-918.6028602885035,129.90712148399393,16
0.017211760793413435,0.008912516826976441,0.008347017424447196,0.0023887355248365097,800,3.0,0.001,"{'svr__C': 800, 'svr__epsilon': 3, 'svr__gamma': 0.001}",-650.5092484859781,-800.3791700108856,-1151.736947688976,-890.5521354667235,-864.6931888093669,-1009.9708523015762,-805.075298384369,-982.8996438910714,-994.1229341888748,-906.446894047996,-740.2231033819413,-1038.1233179783442,-1031.8225303401323,-887.3190082456259,-910.9910195158473,129.3412031919111,7
0.021180851118905202,0.007055869208717924,0.008465511458260673,0.002149578387342954,1000,2.0,1e-05,"{'svr__C': 1000, 'svr__epsilon': 2, 'svr__gamma': 1e-05}",-650.7288819276399,-803.5345722692648,-1157.7606640383128,-897.2152426175085,-864.9211874102051,-1009.8795641366008,-822.1824841877936,-986.4810317921473,-995.7926456885345,-913.2120234547983,-753.3743486806844,-1049.933443282986,-1053.3755965956598,-913.3163747868684,-919.4077186335004,129.96885166126498,25
0.019991057259695872,0.006951044619314397,0.00873664447239467,0.0023919847873703002,1000,2.0,0.0001,"{'svr__C': 1000, 'svr__epsilon': 2, 'svr__gamma': 0.0001}",-650.688701931885,-803.1735653309381,-1156.9927872406288,-896.4402616100684,-864.7499463783977,-1010.1374975153477,-820.1940916556463,-986.3154304182448,-995.4765096370897,-912.206315568715,-751.8486706179177,-1048.5584148676878,-1050.7196337297728,-910.3109407019873,-918.4151976574519,129.8735222331719,14
0.019675714629037038,0.004562794041892183,0.008023159844534737,0.001270861341658092,1000,2.0,0.001,"{'svr__C': 1000, 'svr__epsilon': 2, 'svr__gamma': 0.001}",-650.4675185366461,-799.622603506362,-1150.3924958942632,-888.9688609683603,-865.082054233787,-1009.1857646186924,-800.9985317402421,-981.6898190796013,-992.884401542831,-904.4349306512771,-736.8901456532941,-1035.3400164191276,-1026.254812541497,-882.7238720963854,-908.9239876773121,129.1367553744171,4
0.018852761813572476,0.00736706997952104,0.009666681289672852,0.0027312559245000344,1000,2.5,1e-05,"{'svr__C': 1000, 'svr__epsilon': 2.5, 'svr__gamma': 1e-05}",-650.7288819276399,-803.5345722692648,-1157.8882666567638,-897.1823934918558,-864.9211874102051,-1009.8466489726197,-822.1824841877936,-986.4810317921473,-995.7926456885345,-913.2143189583296,-753.3196692978013,-1049.933459090238,-1053.3323354862036,-913.1840902351737,-919.3958561046122,129.9865808667483,22
0.019810914993286133,0.005873056146934409,0.008797764778137207,0.002526150884812362,1000,2.5,0.0001,"{'svr__C': 1000, 'svr__epsilon': 2.5, 'svr__gamma': 0.0001}",-650.688701931885,-803.1735653309381,-1157.1181753586707,-896.4080820121427,-864.7499463783977,-1010.0096408813044,-820.1940916556463,-986.3154304182448,-995.4964766877882,-912.2291395541913,-751.8058811905446,-1048.5462750985864,-1050.7029292708885,-910.3109407019873,-918.4106626050869,129.88652704363872,13
0.01974984577723912,0.006394465817115866,0.00881505012512207,0.0026629079188944305,1000,2.5,0.001,"{'svr__C': 1000, 'svr__epsilon': 2.5, 'svr__gamma': 0.001}",-650.482650719726,-799.6113398962694,-1150.5181516999737,-888.9393690264793,-865.1338896574467,-1009.1282726916621,-800.9985317402421,-981.6795212787347,-992.9596416611581,-904.4266143723162,-736.9240564707819,-1035.342512079595,-1026.2456234905253,-882.7238720963854,-908.9367176343783,129.14739502552032,5
0.019829613821847097,0.0064401906482096025,0.008884021214076452,0.0020450507326318654,1000,3.0,1e-05,"{'svr__C': 1000, 'svr__epsilon': 3, 'svr__gamma': 1e-05}",-650.7288819276399,-803.5345722692648,-1158.0161126855846,-897.1498218237327,-864.9211874102051,-1009.8466489726197,-821.9991728144854,-986.4810317921473,-995.7869996586334,-913.17073625223,-753.3183088200578,-1049.9348989820883,-1053.2912538937067,-913.130979196373,-919.3793290356264,130.01083414634252,20
0.020195228712899343,0.008138598541667302,0.008630565234592982,0.001888554803538149,1000,3.0,0.0001,"{'svr__C': 1000, 'svr__epsilon': 3, 'svr__gamma': 0.0001}",-650.688701931885,-803.1731022946918,-1157.2457011224435,-896.376180159786,-864.7499463783977,-1009.9656336594703,-820.1940916556463,-986.3154304182448,-995.4964766877882,-912.2554643734067,-751.8039324908509,-1048.5473173378566,-1050.6596362523912,-910.3808849107473,-918.4180356909719,129.89817531071375,15
0.019872546195983887,0.006912749575328585,0.009714654513767787,0.0018993411898770526,1000,3.0,0.001,"{'svr__C': 1000, 'svr__epsilon': 3, 'svr__gamma': 0.001}",-650.4978153776772,-799.6003887837487,-1150.6440110531207,-888.934205516707,-865.1338896574467,-1008.9373184811067,-800.9985317402421,-981.6692493352734,-993.0645594648518,-904.4183182008117,-736.9489083636001,-1035.3556221094364,-1026.196707554886,-882.7238720963854,-908.9373855525209,129.15206164807546,6
0.019393341881888255,0.0062146942603114475,0.009215491158621652,0.0028395541378859,1100,2.0,1e-05,"{'svr__C': 1100, 'svr__epsilon': 2, 'svr__gamma': 1e-05}",-650.7284252161436,-803.5305484004418,-1157.7521106405682,-897.2066175193182,-864.9192746159516,-1009.8841398904045,-822.1603695111851,-986.4790709710719,-995.7943121790556,-913.2008200524997,-753.3571059348362,-1049.9179978234386,-1053.3450774107396,-913.2850714080491,-919.3972101124075,129.96798602776343,23
0.02008180958884103,0.006472083022218463,0.009175436837332589,0.002025573318408707,1100,2.0,0.0001,"{'svr__C': 1100, 'svr__epsilon': 2, 'svr__gamma': 0.0001}",-650.6843156777402,-803.1335837264415,-1156.9075103119376,-896.3543020122383,-864.7311050912955,-1010.1396717314265,-819.9733461193849,-986.2985160913946,-995.6464112950929,-912.0949899568847,-751.6970609719378,-1048.4064447305248,-1050.4236204493627,-909.9265173769644,-918.3155282530446,129.8693450820714,10
0.019961271967206682,0.005955253859346558,0.009973798479352678,0.0016434988787971654,1100,2.0,0.001,"{'svr__C': 1100, 'svr__epsilon': 2, 'svr__gamma': 0.001}",-650.4638306951234,-799.2313590438802,-1149.740131402169,-888.2232083481383,-864.721197042938,-1008.2377265810742,-799.0552114484784,-981.2052843196768,-992.1756207758539,-902.709308658503,-735.0187241177872,-1034.03070668308,-1023.2868223315869,-880.2356042490937,-907.7381954069558,129.0388331546787,1
0.019059504781450545,0.007148242878501863,0.009251696722848075,0.0013999270012426423,1100,2.5,1e-05,"{'svr__C': 1100, 'svr__epsilon': 2.5, 'svr__gamma': 1e-05}",-650.7284252161436,-803.5305484004418,-1157.8797055453742,-897.1737758210659,-864.9192746159516,-1009.8479322137111,-822.1603695111851,-986.4790709710719,-995.7943121790556,-913.2033452015107,-753.3028082622843,-1049.9180151513724,-1053.3018203396173,-913.1527859101316,-919.3851563813512,129.9855173869188,21
0.019561563219342912,0.006407896375461124,0.009289894785199846,0.002488575793465605,1100,2.5,0.0001,"{'svr__C': 1100, 'svr__epsilon': 2.5, 'svr__gamma': 0.0001}",-650.6843156777402,-803.1335837264415,-1157.0326696620202,-896.322196878141,-864.7311050912955,-1010.0559254710464,-819.9733461193849,-986.2985160913946,-995.6627241637058,-912.1201057550318,-751.6380535868057,-1048.3944088417647,-1050.4236204493627,-909.9707634879259,-918.3172382144329,129.88688474969578,11
0.020198345184326172,0.006050207851514409,0.008041126387459891,0.0026789639392439733,1100,2.5,0.001,"{'svr__C': 1100, 'svr__epsilon': 2.5, 'svr__gamma': 0.001}",-650.4788910962019,-799.2197079701206,-1149.8657274995528,-888.185698743078,-864.8053759094605,-1007.9811586586588,-799.0885174062848,-981.2052843196768,-992.1439740448079,-902.8187495356277,-735.063940212826,-1034.0286089069673,-1023.2921152803373,-880.2466982659495,-907.7446034178249,129.03028206305345,2
0.019806810787745883,0.0061032293917141186,0.01014300755092076,0.002113968851533907,1100,3.0,1e-05,"{'svr__C': 1100, 'svr__epsilon': 3, 'svr__gamma': 1e-05}",-650.7284252161436,-803.5305484004418,-1158.0075480221792,-897.14121158355,-864.9192746159516,-1009.8479322137111,-821.9816972888838,-986.4790709710719,-995.7881007669495,-913.155402340303,-753.301311682259,-1049.9194506315232,-1053.2609370116543,-913.0943656156533,-919.3682340257338,130.0095604835052,19
0.02602388177599226,0.00783193701368707,0.013395803315298898,0.0023251252960391697,1100,3.0,0.0001,"{'svr__C': 1100, 'svr__epsilon': 3, 'svr__gamma': 0.0001}",-650.6843156777402,-803.1323096938893,-1157.1601598115033,-896.2903695215446,-864.7311050912955,-1009.9790424928675,-819.9733461193849,-986.2985160913946,-995.6684205861903,-912.1490742462958,-751.6380535868057,-1048.395418269054,-1050.383568355291,-910.1029211920796,-918.3276157668098,129.8969186467582,12
0.02132206303732736,0.005475329920382939,0.010693856648036413,0.0029360607350927283,1100,3.0,0.001,"{'svr__C': 1100, 'svr__epsilon': 3, 'svr__gamma': 0.001}",-650.4939839756747,-799.2083695361065,-1149.991527272908,-888.1577787490687,-864.8819160495095,-1007.6920986094044,-799.1211458482649,-981.2052843196768,-992.1232762684442,-903.0326322571275,-735.1095090752175,-1034.0239468275481,-1023.2869895073608,-880.2626136649665,-907.7565051400913,129.01939562349725,3
